percent_increase,kt_value,yield_difference,propagated_error
0.1,0.75,0.0,0.0
0.15,0.75,0.13333333333333336,0.1885618083164127
0.2,0.75,4.2,0.0
0.25,0.75,58.466666666666676,3.1846855766656548
0.3,0.75,79.93333333333332,1.5860503004493758
0.35,0.75,1.3999999999999997,0.6531972647421809
0.4,0.75,1.4666666666666668,0.9285592184789413
0.45,0.75,0.8000000000000002,0.7118052168020874
0.5,0.75,0.7999999999999999,0.8640987597877147
10.0,1.0,32.26666666666666,4.56849111973648
15.0,1.0,49.73333333333334,4.224794538067955
20.0,1.0,74.33333333333333,3.009614224078852
25.0,1.0,65.8,4.139779919002667
30.0,1.0,68.53333333333335,3.9305074594623135
35.0,1.0,80.13333333333333,2.6566478460228335
40.0,1.0,65.46666666666667,4.82032732867339
45.0,1.0,51.800000000000004,2.315167380558047
5.0,1.0,26.53333333333334,5.60634561110097
50.0,1.0,84.8,0.7483314773547812
10.0,1.25,7.3999999999999915,3.883869776967867
15.0,1.25,17.06666666666665,2.2350739485653603
20.0,1.25,62.2,2.03087282823037
25.0,1.25,43.59999999999999,3.932768321000704
30.0,1.25,46.46666666666666,4.136557881996944
35.0,1.25,78.73333333333332,3.1141255237671026
40.0,1.25,88.6,0.5577733510227086
45.0,1.25,86.66666666666666,1.0154364141151944
5.0,1.25,2.5999999999999943,1.2649110640673515
50.0,1.25,89.86666666666666,2.8347055500625737
10.0,1.5,13.400000000000006,5.9859093804626795
15.0,1.5,12.266666666666652,6.011840169384265
20.0,1.5,3.5999999999999943,5.137227959815595
25.0,1.5,5.86666666666666,1.3097921802925676
30.0,1.5,7.933333333333337,2.5854292572887108
35.0,1.5,10.933333333333337,2.3814094799322336
40.0,1.5,41.73333333333335,9.536829195865428
45.0,1.5,67.4,8.680501777611198
5.0,1.5,5.133333333333326,4.736618578221765
50.0,1.5,54.20000000000002,3.915780041490241
